Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
1427.3,12.75,19.397,0.051554,4348.1,5005.4,8.0135,2.1308,2.6284,899.59,0.79361,undefined,undefined,vapor
1430.1,12.75,19.356,0.051663,4354.3,5013,8.0188,2.1323,2.6297,900.47,0.7884,undefined,undefined,vapor
1433,12.75,19.316,0.051771,4360.5,5020.6,8.0241,2.1339,2.631,901.34,0.78323,undefined,undefined,vapor
1435.9,12.75,19.276,0.051879,4366.7,5028.1,8.0294,2.1354,2.6323,902.22,0.77809,undefined,undefined,vapor
1438.8,12.75,19.236,0.051987,4372.9,5035.7,8.0346,2.137,2.6336,903.09,0.77299,undefined,undefined,vapor
1441.7,12.75,19.196,0.052095,4379.1,5043.3,8.0399,2.1385,2.635,903.96,0.76793,undefined,undefined,vapor
1444.5,12.75,19.156,0.052203,4385.3,5050.9,8.0452,2.1401,2.6363,904.83,0.7629,undefined,undefined,vapor
1447.4,12.75,19.116,0.052311,4391.5,5058.5,8.0504,2.1416,2.6376,905.7,0.75791,undefined,undefined,vapor
1450.3,12.75,19.077,0.052419,4397.7,5066.1,8.0557,2.1431,2.6389,906.57,0.75295,undefined,undefined,vapor
1453.2,12.75,19.038,0.052527,4403.9,5073.7,8.0609,2.1447,2.6402,907.44,0.74802,undefined,undefined,vapor
1456,12.75,18.999,0.052635,4410.2,5081.3,8.0661,2.1462,2.6416,908.31,0.74313,undefined,undefined,vapor
1458.9,12.75,18.96,0.052743,4416.4,5088.9,8.0713,2.1477,2.6429,909.17,0.73828,undefined,undefined,vapor
1461.8,12.75,18.921,0.052851,4422.6,5096.5,8.0765,2.1493,2.6442,910.04,0.73345,undefined,undefined,vapor
1464.7,12.75,18.883,0.052959,4428.9,5104.1,8.0817,2.1508,2.6455,910.9,0.72867,undefined,undefined,vapor
1467.6,12.75,18.844,0.053066,4435.1,5111.7,8.0869,2.1523,2.6468,911.76,0.72391,undefined,undefined,vapor
1470.4,12.75,18.806,0.053174,4441.4,5119.3,8.0921,2.1538,2.6481,912.63,0.71919,undefined,undefined,vapor
1473.3,12.75,18.768,0.053282,4447.6,5127,8.0973,2.1554,2.6494,913.49,0.7145,undefined,undefined,vapor
1476.2,12.75,18.73,0.05339,4453.9,5134.6,8.1025,2.1569,2.6508,914.35,0.70984,undefined,undefined,vapor
1479.1,12.75,18.692,0.053498,4460.1,5142.2,8.1076,2.1584,2.6521,915.2,0.70521,undefined,undefined,vapor
1481.9,12.75,18.655,0.053605,4466.4,5149.8,8.1128,2.1599,2.6534,916.06,0.70062,undefined,undefined,vapor
1484.8,12.75,18.617,0.053713,4472.6,5157.5,8.1179,2.1614,2.6547,916.92,0.69605,undefined,undefined,vapor
1487.7,12.75,18.58,0.053821,4478.9,5165.1,8.1231,2.1629,2.656,917.77,0.69152,undefined,undefined,vapor
1490.6,12.75,18.543,0.053928,4485.2,5172.8,8.1282,2.1644,2.6573,918.63,0.68702,undefined,undefined,vapor
1493.5,12.75,18.506,0.054036,4491.5,5180.4,8.1333,2.1659,2.6586,919.48,0.68255,undefined,undefined,vapor
1496.3,12.75,18.469,0.054144,4497.7,5188.1,8.1385,2.1674,2.6599,920.33,0.6781,undefined,undefined,vapor
1499.2,12.75,18.433,0.054251,4504,5195.7,8.1436,2.1689,2.6612,921.18,0.67369,undefined,undefined,vapor
1502.1,12.75,18.396,0.054359,4510.3,5203.4,8.1487,2.1704,2.6625,922.03,0.66931,undefined,undefined,vapor
1505,12.75,18.36,0.054466,4516.6,5211.1,8.1538,2.1719,2.6638,922.88,0.66496,undefined,undefined,vapor
1507.9,12.75,18.324,0.054574,4522.9,5218.7,8.1589,2.1734,2.6651,923.73,0.66064,undefined,undefined,vapor
1510.7,12.75,18.288,0.054681,4529.2,5226.4,8.164,2.1749,2.6664,924.58,0.65634,undefined,undefined,vapor
1513.6,12.75,18.252,0.054789,4535.5,5234.1,8.169,2.1764,2.6677,925.42,0.65208,undefined,undefined,vapor
1516.5,12.75,18.216,0.054896,4541.8,5241.8,8.1741,2.1779,2.669,926.27,0.64784,undefined,undefined,vapor
1519.4,12.75,18.181,0.055004,4548.1,5249.4,8.1792,2.1793,2.6703,927.11,0.64363,undefined,undefined,vapor
1522.2,12.75,18.145,0.055111,4554.5,5257.1,8.1842,2.1808,2.6716,927.96,0.63945,undefined,undefined,vapor
1525.1,12.75,18.11,0.055219,4560.8,5264.8,8.1893,2.1823,2.6729,928.8,0.6353,undefined,undefined,vapor
1528,12.75,18.075,0.055326,4567.1,5272.5,8.1943,2.1838,2.6742,929.64,0.63117,undefined,undefined,vapor
1530.9,12.75,18.04,0.055433,4573.4,5280.2,8.1993,2.1852,2.6755,930.48,0.62707,undefined,undefined,vapor
1533.8,12.75,18.005,0.055541,4579.8,5287.9,8.2044,2.1867,2.6768,931.32,0.623,undefined,undefined,vapor
1536.6,12.75,17.97,0.055648,4586.1,5295.6,8.2094,2.1881,2.6781,932.16,0.61895,undefined,undefined,vapor
1539.5,12.75,17.935,0.055755,4592.4,5303.3,8.2144,2.1896,2.6794,932.99,0.61493,undefined,undefined,vapor
1542.4,12.75,17.901,0.055863,4598.8,5311,8.2194,2.1911,2.6807,933.83,0.61094,undefined,undefined,vapor
1545.3,12.75,17.867,0.05597,4605.1,5318.8,8.2244,2.1925,2.682,934.67,0.60698,undefined,undefined,vapor
1548.1,12.75,17.833,0.056077,4611.5,5326.5,8.2294,2.194,2.6832,935.5,0.60304,undefined,undefined,vapor
1551,12.75,17.798,0.056185,4617.8,5334.2,8.2344,2.1954,2.6845,936.33,0.59912,undefined,undefined,vapor
1553.9,12.75,17.765,0.056292,4624.2,5341.9,8.2394,2.1969,2.6858,937.17,0.59523,undefined,undefined,vapor
1556.8,12.75,17.731,0.056399,4630.6,5349.7,8.2443,2.1983,2.6871,938,0.59137,undefined,undefined,vapor
1559.7,12.75,17.697,0.056506,4636.9,5357.4,8.2493,2.1997,2.6884,938.83,0.58753,undefined,undefined,vapor
1562.5,12.75,17.664,0.056613,4643.3,5365.1,8.2543,2.2012,2.6897,939.66,0.58371,undefined,undefined,vapor
1565.4,12.75,17.63,0.056721,4649.7,5372.9,8.2592,2.2026,2.6909,940.49,0.57992,undefined,undefined,vapor
1568.3,12.75,17.597,0.056828,4656.1,5380.6,8.2641,2.2041,2.6922,941.32,0.57616,undefined,undefined,vapor
1571.2,12.75,17.564,0.056935,4662.5,5388.4,8.2691,2.2055,2.6935,942.14,0.57241,undefined,undefined,vapor
1574,12.75,17.531,0.057042,4668.8,5396.1,8.274,2.2069,2.6947,942.97,0.5687,undefined,undefined,vapor
1576.9,12.75,17.498,0.057149,4675.2,5403.9,8.2789,2.2083,2.696,943.8,0.565,undefined,undefined,vapor
1579.8,12.75,17.465,0.057256,4681.6,5411.6,8.2839,2.2098,2.6973,944.62,0.56133,undefined,undefined,vapor
1582.7,12.75,17.433,0.057363,4688,5419.4,8.2888,2.2112,2.6986,945.44,0.55768,undefined,undefined,vapor
1585.6,12.75,17.4,0.05747,4694.4,5427.2,8.2937,2.2126,2.6998,946.27,0.55406,undefined,undefined,vapor
1588.4,12.75,17.368,0.057577,4700.8,5435,8.2986,2.214,2.7011,947.09,0.55046,undefined,undefined,vapor
1591.3,12.75,17.336,0.057684,4707.3,5442.7,8.3035,2.2154,2.7023,947.91,0.54688,undefined,undefined,vapor
1594.2,12.75,17.304,0.057791,4713.7,5450.5,8.3083,2.2168,2.7036,948.73,0.54333,undefined,undefined,vapor
1597.1,12.75,17.272,0.057898,4720.1,5458.3,8.3132,2.2182,2.7049,949.55,0.53979,undefined,undefined,vapor
1599.9,12.75,17.24,0.058005,4726.5,5466.1,8.3181,2.2196,2.7061,950.37,0.53628,undefined,undefined,vapor
1602.8,12.75,17.208,0.058112,4732.9,5473.9,8.323,2.221,2.7074,951.19,0.53279,undefined,undefined,vapor
1605.7,12.75,17.177,0.058219,4739.4,5481.7,8.3278,2.2224,2.7086,952,0.52932,undefined,undefined,vapor
1608.6,12.75,17.145,0.058326,4745.8,5489.5,8.3327,2.2238,2.7099,952.82,0.52588,undefined,undefined,vapor
1611.5,12.75,17.114,0.058433,4752.2,5497.3,8.3375,2.2252,2.7111,953.63,0.52245,undefined,undefined,vapor
1614.3,12.75,17.082,0.05854,4758.7,5505.1,8.3424,2.2266,2.7124,954.45,0.51905,undefined,undefined,vapor
1617.2,12.75,17.051,0.058647,4765.1,5512.9,8.3472,2.228,2.7136,955.26,0.51567,undefined,undefined,vapor
1620.1,12.75,17.02,0.058753,4771.6,5520.7,8.352,2.2294,2.7149,956.07,0.51231,undefined,undefined,vapor
1623,12.75,16.989,0.05886,4778,5528.5,8.3568,2.2307,2.7161,956.88,0.50897,undefined,undefined,vapor
1625.9,12.75,16.959,0.058967,4784.5,5536.3,8.3616,2.2321,2.7173,957.7,0.50565,undefined,undefined,vapor
1628.7,12.75,16.928,0.059074,4791,5544.1,8.3664,2.2335,2.7186,958.51,0.50235,undefined,undefined,vapor
1631.6,12.75,16.897,0.059181,4797.4,5552,8.3712,2.2348,2.7198,959.31,0.49907,undefined,undefined,vapor
1634.5,12.75,16.867,0.059287,4803.9,5559.8,8.376,2.2362,2.721,960.12,0.49581,undefined,undefined,vapor
1637.4,12.75,16.837,0.059394,4810.4,5567.6,8.3808,2.2376,2.7223,960.93,0.49257,undefined,undefined,vapor
1640.2,12.75,16.806,0.059501,4816.8,5575.5,8.3856,2.2389,2.7235,961.74,0.48935,undefined,undefined,vapor
1643.1,12.75,16.776,0.059608,4823.3,5583.3,8.3904,2.2403,2.7247,962.54,0.48615,undefined,undefined,vapor
1646,12.75,16.746,0.059714,4829.8,5591.2,8.3952,2.2417,2.726,963.35,0.48297,undefined,undefined,vapor
1648.9,12.75,16.716,0.059821,4836.3,5599,8.3999,2.243,2.7272,964.15,0.47981,undefined,undefined,vapor
1651.8,12.75,16.687,0.059928,4842.8,5606.8,8.4047,2.2444,2.7284,964.96,0.47667,undefined,undefined,vapor
1654.6,12.75,16.657,0.060035,4849.3,5614.7,8.4094,2.2457,2.7296,965.76,0.47355,undefined,undefined,vapor
1657.5,12.75,16.628,0.060141,4855.8,5622.6,8.4142,2.247,2.7309,966.56,0.47044,undefined,undefined,vapor
1660.4,12.75,16.598,0.060248,4862.3,5630.4,8.4189,2.2484,2.7321,967.36,0.46736,undefined,undefined,vapor
1663.3,12.75,16.569,0.060354,4868.8,5638.3,8.4236,2.2497,2.7333,968.16,0.46429,undefined,undefined,vapor
1666.1,12.75,16.54,0.060461,4875.3,5646.2,8.4284,2.2511,2.7345,968.96,0.46125,undefined,undefined,vapor
1669,12.75,16.51,0.060568,4881.8,5654,8.4331,2.2524,2.7357,969.76,0.45822,undefined,undefined,vapor
1671.9,12.75,16.481,0.060674,4888.3,5661.9,8.4378,2.2537,2.7369,970.56,0.4552,undefined,undefined,vapor
1674.8,12.75,16.453,0.060781,4894.8,5669.8,8.4425,2.2551,2.7381,971.36,0.45221,undefined,undefined,vapor
1677.7,12.75,16.424,0.060887,4901.3,5677.7,8.4472,2.2564,2.7393,972.15,0.44923,undefined,undefined,vapor
1680.5,12.75,16.395,0.060994,4907.9,5685.6,8.4519,2.2577,2.7405,972.95,0.44628,undefined,undefined,vapor
1683.4,12.75,16.366,0.061101,4914.4,5693.4,8.4566,2.259,2.7417,973.74,0.44334,undefined,undefined,vapor
1686.3,12.75,16.338,0.061207,4920.9,5701.3,8.4613,2.2603,2.7429,974.54,0.44041,undefined,undefined,vapor
1689.2,12.75,16.31,0.061314,4927.5,5709.2,8.466,2.2616,2.7441,975.33,0.43751,undefined,undefined,vapor
1692,12.75,16.281,0.06142,4934,5717.1,8.4706,2.263,2.7453,976.12,0.43462,undefined,undefined,vapor
1694.9,12.75,16.253,0.061527,4940.6,5725,8.4753,2.2643,2.7465,976.91,0.43175,undefined,undefined,vapor
1697.8,12.75,16.225,0.061633,4947.1,5732.9,8.48,2.2656,2.7477,977.71,0.42889,undefined,undefined,vapor
1700.7,12.75,16.197,0.06174,4953.7,5740.8,8.4846,2.2669,2.7489,978.5,0.42606,undefined,undefined,vapor
1703.6,12.75,16.169,0.061846,4960.2,5748.8,8.4893,2.2682,2.7501,979.29,0.42323,undefined,undefined,vapor
1706.4,12.75,16.141,0.061952,4966.8,5756.7,8.4939,2.2695,2.7513,980.08,0.42043,undefined,undefined,vapor
1709.3,12.75,16.114,0.062059,4973.3,5764.6,8.4986,2.2707,2.7525,980.86,0.41764,undefined,undefined,vapor
1712.2,12.75,16.086,0.062165,4979.9,5772.5,8.5032,2.272,2.7536,981.65,0.41487,undefined,undefined,vapor
1715.1,12.75,16.059,0.062272,4986.5,5780.4,8.5078,2.2733,2.7548,982.44,0.41211,undefined,undefined,vapor
1717.9,12.75,16.031,0.062378,4993.1,5788.4,8.5124,2.2746,2.756,983.22,0.40937,undefined,undefined,vapor
1720.8,12.75,16.004,0.062485,4999.6,5796.3,8.517,2.2759,2.7572,984.01,0.40665,undefined,undefined,vapor
1723.7,12.75,15.977,0.062591,5006.2,5804.2,8.5217,2.2772,2.7583,984.79,0.40394,undefined,undefined,vapor
1726.6,12.75,15.95,0.062697,5012.8,5812.2,8.5263,2.2784,2.7595,985.58,0.40125,undefined,undefined,vapor
1729.5,12.75,15.923,0.062804,5019.4,5820.1,8.5309,2.2797,2.7607,986.36,0.39857,undefined,undefined,vapor
1732.3,12.75,15.896,0.06291,5026,5828.1,8.5354,2.281,2.7618,987.14,0.39591,undefined,undefined,vapor
1735.2,12.75,15.869,0.063016,5032.6,5836,8.54,2.2822,2.763,987.92,0.39326,undefined,undefined,vapor
1738.1,12.75,15.842,0.063123,5039.2,5844,8.5446,2.2835,2.7642,988.7,0.39063,undefined,undefined,vapor
1741,12.75,15.816,0.063229,5045.8,5851.9,8.5492,2.2848,2.7653,989.48,0.38802,undefined,undefined,vapor
1743.9,12.75,15.789,0.063335,5052.4,5859.9,8.5538,2.286,2.7665,990.26,0.38541,undefined,undefined,vapor
1746.7,12.75,15.763,0.063441,5059,5867.9,8.5583,2.2873,2.7676,991.04,0.38283,undefined,undefined,vapor
1749.6,12.75,15.736,0.063548,5065.6,5875.8,8.5629,2.2885,2.7688,991.82,0.38026,undefined,undefined,vapor
1752.5,12.75,15.71,0.063654,5072.2,5883.8,8.5674,2.2898,2.7699,992.6,0.3777,undefined,undefined,vapor
1755.4,12.75,15.684,0.06376,5078.8,5891.8,8.572,2.291,2.7711,993.38,0.37516,undefined,undefined,vapor
1758.2,12.75,15.658,0.063866,5085.5,5899.8,8.5765,2.2923,2.7722,994.15,0.37263,undefined,undefined,vapor
1761.1,12.75,15.632,0.063973,5092.1,5907.7,8.581,2.2935,2.7734,994.93,0.37011,undefined,undefined,vapor
1764,12.75,15.606,0.064079,5098.7,5915.7,8.5856,2.2948,2.7745,995.7,0.36761,undefined,undefined,vapor
1766.9,12.75,15.58,0.064185,5105.3,5923.7,8.5901,2.296,2.7757,996.48,0.36513,undefined,undefined,vapor
1769.8,12.75,15.554,0.064291,5112,5931.7,8.5946,2.2972,2.7768,997.25,0.36266,undefined,undefined,vapor
1772.6,12.75,15.529,0.064398,5118.6,5939.7,8.5991,2.2985,2.7779,998.02,0.3602,undefined,undefined,vapor
1775.5,12.75,15.503,0.064504,5125.3,5947.7,8.6036,2.2997,2.7791,998.79,0.35776,undefined,undefined,vapor
1778.4,12.75,15.478,0.06461,5131.9,5955.7,8.6081,2.3009,2.7802,999.56,0.35532,undefined,undefined,vapor
1781.3,12.75,15.452,0.064716,5138.6,5963.7,8.6126,2.3021,2.7813,1000.3,0.35291,undefined,undefined,vapor
1784.1,12.75,15.427,0.064822,5145.2,5971.7,8.6171,2.3033,2.7825,1001.1,0.3505,undefined,undefined,vapor
1787,12.75,15.402,0.064928,5151.9,5979.7,8.6216,2.3046,2.7836,1001.9,0.34811,undefined,undefined,vapor
1789.9,12.75,15.376,0.065034,5158.5,5987.7,8.6261,2.3058,2.7847,1002.6,0.34574,undefined,undefined,vapor
1792.8,12.75,15.351,0.065141,5165.2,5995.7,8.6306,2.307,2.7858,1003.4,0.34337,undefined,undefined,vapor
1795.7,12.75,15.326,0.065247,5171.9,6003.8,8.635,2.3082,2.7869,1004.2,0.34102,undefined,undefined,vapor
1798.5,12.75,15.302,0.065353,5178.5,6011.8,8.6395,2.3094,2.788,1004.9,0.33869,undefined,undefined,vapor
1801.4,12.75,15.277,0.065459,5185.2,6019.8,8.644,2.3106,2.7892,1005.7,0.33636,undefined,undefined,vapor
1804.3,12.75,15.252,0.065565,5191.9,6027.8,8.6484,2.3118,2.7903,1006.5,0.33405,undefined,undefined,vapor
1807.2,12.75,15.227,0.065671,5198.6,6035.9,8.6529,2.313,2.7914,1007.2,0.33175,undefined,undefined,vapor
1810,12.75,15.203,0.065777,5205.2,6043.9,8.6573,2.3142,2.7925,1008,0.32947,undefined,undefined,vapor
1812.9,12.75,15.178,0.065883,5211.9,6051.9,8.6617,2.3154,2.7936,1008.8,0.32719,undefined,undefined,vapor
1815.8,12.75,15.154,0.065989,5218.6,6060,8.6662,2.3166,2.7947,1009.5,0.32493,undefined,undefined,vapor
1818.7,12.75,15.13,0.066095,5225.3,6068,8.6706,2.3177,2.7958,1010.3,0.32268,undefined,undefined,vapor
1821.6,12.75,15.105,0.066201,5232,6076.1,8.675,2.3189,2.7969,1011.1,0.32044,undefined,undefined,vapor
1824.4,12.75,15.081,0.066307,5238.7,6084.1,8.6794,2.3201,2.798,1011.8,0.31822,undefined,undefined,vapor
1827.3,12.75,15.057,0.066413,5245.4,6092.2,8.6839,2.3213,2.7991,1012.6,0.31601,undefined,undefined,vapor
1830.2,12.75,15.033,0.066519,5252.1,6100.2,8.6883,2.3225,2.8002,1013.3,0.31381,undefined,undefined,vapor
1833.1,12.75,15.009,0.066625,5258.8,6108.3,8.6927,2.3236,2.8013,1014.1,0.31162,undefined,undefined,vapor
1836,12.75,14.986,0.066731,5265.5,6116.4,8.6971,2.3248,2.8023,1014.8,0.30944,undefined,undefined,vapor
1838.8,12.75,14.962,0.066837,5272.3,6124.4,8.7014,2.326,2.8034,1015.6,0.30727,undefined,undefined,vapor
1841.7,12.75,14.938,0.066943,5279,6132.5,8.7058,2.3271,2.8045,1016.4,0.30512,undefined,undefined,vapor
1844.6,12.75,14.914,0.067049,5285.7,6140.6,8.7102,2.3283,2.8056,1017.1,0.30298,undefined,undefined,vapor
1847.5,12.75,14.891,0.067155,5292.4,6148.6,8.7146,2.3294,2.8067,1017.9,0.30085,undefined,undefined,vapor
1850.3,12.75,14.867,0.067261,5299.1,6156.7,8.719,2.3306,2.8077,1018.6,0.29873,undefined,undefined,vapor
1853.2,12.75,14.844,0.067367,5305.9,6164.8,8.7233,2.3318,2.8088,1019.4,0.29662,undefined,undefined,vapor
1856.1,12.75,14.821,0.067473,5312.6,6172.9,8.7277,2.3329,2.8099,1020.1,0.29453,undefined,undefined,vapor
1859,12.75,14.798,0.067579,5319.4,6181,8.732,2.334,2.811,1020.9,0.29244,undefined,undefined,vapor
1861.9,12.75,14.774,0.067684,5326.1,6189.1,8.7364,2.3352,2.812,1021.6,0.29037,undefined,undefined,vapor
1864.7,12.75,14.751,0.06779,5332.8,6197.2,8.7407,2.3363,2.8131,1022.4,0.2883,undefined,undefined,vapor
1867.6,12.75,14.728,0.067896,5339.6,6205.3,8.7451,2.3375,2.8142,1023.1,0.28625,undefined,undefined,vapor
1870.5,12.75,14.705,0.068002,5346.3,6213.4,8.7494,2.3386,2.8152,1023.9,0.28421,undefined,undefined,vapor
1873.4,12.75,14.683,0.068108,5353.1,6221.5,8.7537,2.3397,2.8163,1024.6,0.28218,undefined,undefined,vapor
1876.2,12.75,14.66,0.068214,5359.8,6229.6,8.7581,2.3409,2.8173,1025.4,0.28016,undefined,undefined,vapor
1879.1,12.75,14.637,0.06832,5366.6,6237.7,8.7624,2.342,2.8184,1026.1,0.27815,undefined,undefined,vapor
1882,12.75,14.614,0.068425,5373.4,6245.8,8.7667,2.3431,2.8194,1026.9,0.27615,undefined,undefined,vapor
1884.9,12.75,14.592,0.068531,5380.1,6253.9,8.771,2.3442,2.8205,1027.6,0.27416,undefined,undefined,vapor
1887.8,12.75,14.569,0.068637,5386.9,6262,8.7753,2.3454,2.8215,1028.4,0.27218,undefined,undefined,vapor
1890.6,12.75,14.547,0.068743,5393.7,6270.2,8.7796,2.3465,2.8226,1029.1,0.27022,undefined,undefined,vapor
1893.5,12.75,14.525,0.068849,5400.5,6278.3,8.7839,2.3476,2.8236,1029.9,0.26826,undefined,undefined,vapor
1896.4,12.75,14.502,0.068955,5407.2,6286.4,8.7882,2.3487,2.8247,1030.6,0.26631,undefined,undefined,vapor
1899.3,12.75,14.48,0.06906,5414,6294.5,8.7925,2.3498,2.8257,1031.4,0.26438,undefined,undefined,vapor
1902.1,12.75,14.458,0.069166,5420.8,6302.7,8.7968,2.3509,2.8267,1032.1,0.26245,undefined,undefined,vapor
1905,12.75,14.436,0.069272,5427.6,6310.8,8.801,2.352,2.8278,1032.9,0.26053,undefined,undefined,vapor
1907.9,12.75,14.414,0.069378,5434.4,6319,8.8053,2.3531,2.8288,1033.6,0.25863,undefined,undefined,vapor
1910.8,12.75,14.392,0.069483,5441.2,6327.1,8.8096,2.3542,2.8298,1034.3,0.25673,undefined,undefined,vapor
1913.7,12.75,14.37,0.069589,5448,6335.2,8.8138,2.3553,2.8309,1035.1,0.25484,undefined,undefined,vapor
1916.5,12.75,14.348,0.069695,5454.8,6343.4,8.8181,2.3564,2.8319,1035.8,0.25296,undefined,undefined,vapor
1919.4,12.75,14.327,0.069801,5461.6,6351.5,8.8223,2.3575,2.8329,1036.6,0.2511,undefined,undefined,vapor
1922.3,12.75,14.305,0.069906,5468.4,6359.7,8.8266,2.3586,2.8339,1037.3,0.24924,undefined,undefined,vapor
1925.2,12.75,14.283,0.070012,5475.2,6367.9,8.8308,2.3597,2.8349,1038,0.24739,undefined,undefined,vapor
1928,12.75,14.262,0.070118,5482,6376,8.835,2.3608,2.836,1038.8,0.24555,undefined,undefined,vapor
1930.9,12.75,14.24,0.070223,5488.8,6384.2,8.8393,2.3618,2.837,1039.5,0.24372,undefined,undefined,vapor
1933.8,12.75,14.219,0.070329,5495.6,6392.3,8.8435,2.3629,2.838,1040.3,0.2419,undefined,undefined,vapor
1936.7,12.75,14.198,0.070435,5502.5,6400.5,8.8477,2.364,2.839,1041,0.24009,undefined,undefined,vapor
1939.6,12.75,14.176,0.070541,5509.3,6408.7,8.8519,2.3651,2.84,1041.7,0.23829,undefined,undefined,vapor
1942.4,12.75,14.155,0.070646,5516.1,6416.9,8.8562,2.3661,2.841,1042.5,0.23649,undefined,undefined,vapor
1945.3,12.75,14.134,0.070752,5523,6425,8.8604,2.3672,2.842,1043.2,0.23471,undefined,undefined,vapor
1948.2,12.75,14.113,0.070858,5529.8,6433.2,8.8646,2.3683,2.843,1043.9,0.23294,undefined,undefined,vapor
1951.1,12.75,14.092,0.070963,5536.6,6441.4,8.8688,2.3693,2.844,1044.7,0.23117,undefined,undefined,vapor
1954,12.75,14.071,0.071069,5543.5,6449.6,8.873,2.3704,2.845,1045.4,0.22941,undefined,undefined,vapor
1956.8,12.75,14.05,0.071174,5550.3,6457.8,8.8771,2.3715,2.846,1046.1,0.22766,undefined,undefined,vapor
1959.7,12.75,14.029,0.07128,5557.2,6466,8.8813,2.3725,2.847,1046.9,0.22593,undefined,undefined,vapor
1962.6,12.75,14.008,0.071386,5564,6474.2,8.8855,2.3736,2.848,1047.6,0.22419,undefined,undefined,vapor
1965.5,12.75,13.988,0.071491,5570.9,6482.4,8.8897,2.3746,2.849,1048.3,0.22247,undefined,undefined,vapor
1968.3,12.75,13.967,0.071597,5577.7,6490.6,8.8938,2.3757,2.85,1049.1,0.22076,undefined,undefined,vapor
1971.2,12.75,13.946,0.071703,5584.6,6498.8,8.898,2.3767,2.8509,1049.8,0.21906,undefined,undefined,vapor
1974.1,12.75,13.926,0.071808,5591.4,6507,8.9022,2.3777,2.8519,1050.5,0.21736,undefined,undefined,vapor
1977,12.75,13.906,0.071914,5598.3,6515.2,8.9063,2.3788,2.8529,1051.3,0.21567,undefined,undefined,vapor
1979.9,12.75,13.885,0.072019,5605.2,6523.4,8.9105,2.3798,2.8539,1052,0.21399,undefined,undefined,vapor
1982.7,12.75,13.865,0.072125,5612,6531.6,8.9146,2.3809,2.8549,1052.7,0.21232,undefined,undefined,vapor
1985.6,12.75,13.845,0.072231,5618.9,6539.8,8.9188,2.3819,2.8558,1053.4,0.21066,undefined,undefined,vapor
1988.5,12.75,13.824,0.072336,5625.8,6548.1,8.9229,2.3829,2.8568,1054.2,0.209,undefined,undefined,vapor
1991.4,12.75,13.804,0.072442,5632.6,6556.3,8.927,2.3839,2.8578,1054.9,0.20736,undefined,undefined,vapor
1994.2,12.75,13.784,0.072547,5639.5,6564.5,8.9312,2.385,2.8587,1055.6,0.20572,undefined,undefined,vapor
1997.1,12.75,13.764,0.072653,5646.4,6572.7,8.9353,2.386,2.8597,1056.3,0.20409,undefined,undefined,vapor
2000,12.75,13.744,0.072758,5653.3,6581,8.9394,2.387,2.8607,1057.1,0.20247,undefined,undefined,vapor
